ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
4090,Nordic Championship,1971-06-20,Denmark,1,3,Sweden,,1
4091,Friendly,1971-06-22,Norway,1,7,Germany,,1
4092,Friendly,1971-06-27,Sweden,1,0,Germany,,1
4093,Friendly,1971-06-30,Denmark,1,3,Germany,,1
4094,Copa Chevallier Boutell,1971-04-07,Paraguay,1,1,Argentina,,1
4095,Friendly,1971-06-07,Mexico,1,1,Greece,,1
4096,Copa Chevallier Boutell,1971-09-07,Argentina,1,0,Paraguay,,1
4097,Friendly,1971-11-07,Brazil,1,1,Austria,,1
4098,Friendly,1971-07-14,Argentina,1,0,Uruguay,,1
4099,Friendly,1971-07-14,Brazil,1,0,Czechoslovakia,,1
4100,Friendly,1971-07-18,Brazil,2,2,Yugoslavia,,1
4101,Friendly,1971-07-18,Uruguay,1,1,Argentina,,1
4102,Copa Carlos Dittborn,1971-07-21,Chile,2,2,Argentina,,1
4103,Friendly,1971-07-24,Brazil,1,0,Paraguay,,1
4104,Friendly,1971-07-25,Senegal,2,1,Sierra Leone,,1
4105,Copa Roca,1971-07-28,Argentina,1,1,Brazil,,1
4106,Friendly,1971-07-28,Denmark,3,2,Japan,,1
4107,Copa Roca,1971-07-31,Argentina,2,2,Brazil,,1
4108,Copa Carlos Dittborn,1971-04-08,Argentina,1,0,Chile,,1
4109,Friendly,1971-08-13,Iceland,0,2,Japan,,1
4110,African Cup of Nations qualification,1971-08-18,Guinea,1,0,Senegal,,1
4111,Friendly,1971-08-18,Mexico,0,1,German DR,,1
4112,African Cup of Nations qualification,1971-01-09,Senegal,0,0,Guinea,,1
4113,Nordic Championship,1971-08-09,Denmark,0,0,Finland,,1
4114,Friendly,1971-08-09,Germany,5,0,Mexico,,1
4115,UEFA Euro qualification,1971-08-09,Norway,1,3,France,,1
4116,Friendly,1971-10-09,South Korea,2,0,Iran,,1
4117,Friendly,1971-12-09,South Korea,0,2,Iran,,1
4118,Friendly,1971-09-18,German DR,1,1,Mexico,,1
4119,UEFA Euro qualification,1971-09-22,Poland,5,1,Turkey,,1
4120,Friendly,1971-09-22,Yugoslavia,4,0,Mexico,,1
4121,Friendly,1971-09-25,Italy,2,0,Mexico,,1
4122,Nordic Championship,1971-09-26,Norway,1,4,Denmark,,1
4123,Friendly,1971-09-26,Switzerland,4,0,Turkey,,1
4124,Friendly,1971-09-30,Greece,0,1,Mexico,,1
4125,CONCACAF Championship qualification,1971-06-10,Bermuda,0,2,Mexico,,1
4126,CONCACAF Championship qualification,1971-06-10,Mexico,4,0,Bermuda,,1
4127,UEFA Euro qualification,1971-09-10,France,0,2,Hungary,,1
4128,UEFA Euro qualification,1971-10-10,Netherlands,3,2,German DR,,1
4129,UEFA Euro qualification,1971-10-10,Poland,1,3,Germany,,1
4130,African Cup of Nations qualification,1971-10-13,Morocco,3,0,Egypt,,1
4131,African Cup of Nations qualification,1971-10-13,Togo,0,0,Ghana,,1
4132,UEFA Euro qualification,1971-10-13,Scotland,2,1,Portugal,,1
4133,UEFA Euro qualification,1971-10-13,Switzerland,2,3,England,,1
4134,UEFA Euro qualification,1971-10-13,Wales,3,0,Finland,,1
4135,African Cup of Nations qualification,1971-10-27,Egypt,3,2,Morocco,,1
4136,African Cup of Nations qualification,1971-10-27,Ghana,0,1,Togo,,1
4137,UEFA Euro qualification,1971-10-27,Czechoslovakia,1,0,Wales,,1
4138,UEFA Euro qualification,1971-10-27,Spain,0,0,Russia,,1
4139,Copa Juan Pinto Duran,1971-10-27,Uruguay,3,0,Chile,,1
4140,Copa Juan Pinto Duran,1971-03-11,Chile,5,0,Uruguay,,1
4141,Friendly,1971-07-11,Belgium,1,0,Luxembourg,,1
4142,King's Cup,1971-08-11,South Korea,2,2,Malaysia,,0
4143,UEFA Euro qualification,1971-10-11,England,1,1,Switzerland,,1
4144,UEFA Euro qualification,1971-10-11,France,2,1,Bulgaria,,1
4145,UEFA Euro qualification,1971-10-11,Scotland,1,0,Belgium,,1
4146,Friendly,1971-11-11,Australia,2,2,Israel,,1
4147,King's Cup,1971-12-11,Indonesia,0,0,South Korea,,0
4148,Friendly,1971-11-14,Australia,1,0,Israel,,1
4149,King's Cup,1971-11-14,South Korea,1,1,Vietnam Republic,South Korea win on penalties,0
4150,King's Cup,1971-11-16,Thailand,0,1,South Korea,,1
4151,UEFA Euro qualification,1971-11-17,Germany,0,0,Poland,,1
4152,UEFA Euro qualification,1971-11-17,Netherlands,8,0,Luxembourg,,1
4153,CONCACAF Championship,1971-11-20,Cuba,0,3,Costa Rica,,0
4154,Friendly,1971-11-21,Australia,1,3,Israel,,1
4155,CONCACAF Championship,1971-11-21,Haiti,0,0,Mexico,,0
4156,UEFA Euro qualification,1971-11-21,Portugal,1,1,Belgium,,1
4157,CONCACAF Championship,1971-11-24,Costa Rica,0,0,Haiti,,0
4158,UEFA Euro qualification,1971-11-24,Romania,2,0,Wales,,1
4159,UEFA Euro qualification,1971-11-24,Spain,7,0,Cyprus,,1
4160,CONCACAF Championship,1971-11-26,Trinidad and Tobago,0,2,Mexico,,1
4161,CONCACAF Championship,1971-11-27,Costa Rica,2,1,Honduras,,0
4162,CONCACAF Championship,1971-11-28,Cuba,0,1,Mexico,,0
4163,UEFA Euro qualification,1971-01-12,Greece,0,2,England,,1
4164,Friendly,1971-01-12,Netherlands,2,1,Scotland,,1
4165,CONCACAF Championship,1971-02-12,Costa Rica,0,1,Mexico,,0
4166,UEFA Euro qualification,1971-04-12,Bulgaria,2,1,France,,1
4167,CONCACAF Championship,1971-04-12,Honduras,1,2,Mexico,,0
4168,CONCACAF Championship,1971-05-12,Trinidad and Tobago,3,1,Costa Rica,,1
4169,UEFA Euro qualification,1971-05-12,Turkey,1,0,Poland,,1
4170,Friendly,1971-12-19,Senegal,4,1,Mali,,1
4171,Palestine Cup,1972-04-01,Algeria,3,0,Qatar,,0
4172,Palestine Cup,1972-06-01,Syria,3,2,Qatar,,0
4173,Palestine Cup,1972-08-01,Qatar,1,2,Yemen DPR,,0
4174,Friendly,1972-09-01,Senegal,0,2,Congo,,1
4175,Palestine Cup,1972-10-01,Palestine,7,2,Qatar,,0
4176,Friendly,1972-12-01,Spain,1,0,Hungary,,1
4177,Friendly,1972-01-27,Mexico,2,0,Chile,,1
4178,Friendly,1972-02-13,Cameroon,1,2,Nigeria,,1
4179,Friendly,1972-02-16,Greece,0,5,Netherlands,,1
4180,UEFA Euro qualification,1972-02-16,Northern Ireland,1,1,Spain,,0
4181,Friendly,1972-02-17,Senegal,1,3,Morocco,,1
4182,Friendly,1972-02-20,Nigeria,3,0,Morocco,,1
4183,Friendly,1972-02-20,Tunisia,3,3,Austria,,1
4184,African Cup of Nations,1972-02-23,Cameroon,2,1,Kenya,,1
4185,African Cup of Nations,1972-02-25,Congo,1,1,Morocco,,0
4186,African Cup of Nations,1972-02-26,Cameroon,2,0,Togo,,1
4187,African Cup of Nations,1972-02-27,Morocco,1,1,Sudan,,0
4188,African Cup of Nations,1972-02-28,Cameroon,1,1,Mali,,1
4189,African Cup of Nations,1972-02-29,Morocco,1,1,DR Congo,,0
4190,African Cup of Nations,1972-02-03,Cameroon,0,1,Congo,,1
4191,African Cup of Nations,1972-04-03,Cameroon,5,2,DR Congo,,1
4192,Gulf Cup,1972-03-16,Saudi Arabia,2,2,Kuwait,,1
4193,Gulf Cup,1972-03-17,Qatar,0,1,United Arab Emirates,,0
4194,Gulf Cup,1972-03-19,Saudi Arabia,4,0,United Arab Emirates,,1
4195,Gulf Cup,1972-03-21,Bahrain,6,2,Qatar,,0
4196,Gulf Cup,1972-03-24,Saudi Arabia,4,0,Qatar,,1
4197,Gulf Cup,1972-03-26,Kuwait,5,0,Qatar,,0
4198,Gulf Cup,1972-03-28,Saudi Arabia,2,1,Bahrain,,1
4199,Friendly,1972-03-29,Hungary,0,2,Germany,,1
4200,FIFA World Cup qualification,1972-03-29,Portugal,4,0,Cyprus,,1
4201,Friendly,1972-05-04,Mexico,2,1,Peru,,1
4202,Friendly,1972-08-04,Poland,2,1,German DR,,1
4203,Friendly,1972-08-04,Romania,2,0,France,,1
4204,Friendly,1972-12-04,Greece,0,0,Spain,,1
4205,Friendly,1972-04-19,Ghana,1,2,Ivory Coast,,1
4206,Friendly,1972-04-26,Brazil,3,2,Paraguay,,1
4207,Friendly,1972-04-26,Switzerland,1,1,Sweden,,1
4208,UEFA Euro qualification,1972-04-29,England,1,3,Germany,,1
4209,UEFA Euro qualification,1972-04-29,Italy,0,0,Belgium,,1
4210,Friendly,1972-03-05,Netherlands,3,0,Peru,,1
4211,AFC Asian Cup,1972-07-05,Iran,2,0,Cambodia,,0
4212,AFC Asian Cup,1972-07-05,South Korea,0,0,Iraq,,0
4213,AFC Asian Cup,1972-09-05,Iran,3,0,Iraq,,0
4214,AFC Asian Cup,1972-10-05,Cambodia,1,4,South Korea,,0
4215,FIFA World Cup qualification,1972-10-05,Cyprus,0,1,Portugal,,1
4216,Friendly,1972-10-05,Poland,0,0,Switzerland,,1
4217,AFC Asian Cup,1972-12-05,South Korea,1,2,Kuwait,,0
4218,UEFA Euro qualification,1972-05-13,Belgium,2,1,Italy,,1
4219,UEFA Euro qualification,1972-05-13,Germany,0,0,England,,1
4220,AFC Asian Cup,1972-05-13,Thailand,2,3,Iran,,1
4221,AFC Asian Cup,1972-05-16,Iran,2,1,Cambodia,,0
